1,2,3,4,5,6,,
0,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
1,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
2,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
3,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
4,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
5,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
6,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
7,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
8,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
9,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
10,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
11,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
12,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
13,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
14,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
15,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
16,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
17,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
18,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
19,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
20,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
21,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
22,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
23,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
24,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
25,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
26,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
27,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
28,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
29,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
30,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
31,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
32,84.8570251,48.5285263,133.3856506,36.3285027,NULL,,
33,6.1499996,2.5725343,8.7226343,3.5774653,NULL,,
34,6.1499996,2.5725343,8.7226343,3.5774653,NULL,,
35,6.0664101,2.5380361,8.6045465,3.5283742,NULL,,
