time,annotation
00:09:54.775000,"Picked up SM_Plate_Blueprint8
"
00:09:59.750000,"Picked up BP_FD_Broccoli_Steamed_C_2147482383
"
00:10:00.807000,"Dropped BP_FD_Broccoli_Steamed_C_2147482383
"
00:10:00.906000,"Picked up BP_FD_Broccoli_Steamed_C_2147482383
"
00:10:05.746000,"Dropped BP_FD_Broccoli_Steamed_C_2147482383
"
00:10:05.992000,"Placed BP_FD_Broccoli_Steamed_C_2147482383 onto plate SM_Plate_Blueprint8
"
00:10:15.967000,"Picked up BP_FD_SalmonGrilled_C_2147482379
"
00:10:16.809000,"Dropped BP_FD_SalmonGrilled_C_2147482379
"
00:10:17.075000,"Placed BP_FD_SalmonGrilled_C_2147482379 onto plate SM_Plate_Blueprint8
"
00:10:07.259000,"Picked up BP_FD_Broccoli_Steamed_C_2147482381
"
00:10:32.893000,"Picked up BP_FD_Fries_SweetPotato_C_2147482377
"
00:10:34.980000,"Dropped BP_FD_Fries_SweetPotato_C_2147482377
"
00:10:08.968000,"Dropped BP_FD_Broccoli_Steamed_C_2147482381
"
00:10:35.246000,"Placed BP_FD_Fries_SweetPotato_C_2147482377 onto plate SM_Plate_Blueprint8
"
00:10:36.802000,"Picked up BP_FD_Fries_SweetPotato_C_2147482375
"
00:10:38.466000,"Placed BP_FD_Fries_SweetPotato_C_2147482375 onto plate SM_Plate_Blueprint8
"
00:10:38.857000,"Dropped BP_FD_Fries_SweetPotato_C_2147482375
"
00:10:09.282000,"Placed BP_FD_Broccoli_Steamed_C_2147482381 onto plate SM_Plate_Blueprint8
"
00:10:46.956000,"Picked up SM_FD_Strawberry8
"
00:10:48.423000,"Dropped SM_FD_Strawberry8
"
00:10:48.623000,"Placed SM_FD_Strawberry8 onto plate SM_Plate_Blueprint8
"
00:10:49.758000,"Picked up SM_FD_Strawberry4
"
00:10:51.667000,"Dropped SM_FD_Strawberry4
"
00:10:56.420000,"Picked up SM_FD_Strawberry6
"
00:10:57.617000,"Dropped SM_FD_Strawberry6
"
00:10:57.865000,"Placed SM_FD_Strawberry6 onto plate SM_Plate_Blueprint8
"
00:11:02.757000,"Dropped SM_Plate_Blueprint8
"
00:11:37.962000,"Dropped SM_BeverageCup_Blueprint3
"
00:11:13.685000,"Picked up SM_BeverageCup_Blueprint3
"
00:12:26.938000,"Picked up SM_Plate_Blueprint8
"
00:12:30.270000,"Picked up BP_FD_GreenBeans_C_2147482320
"
00:12:34.125000,"Dropped BP_FD_GreenBeans_C_2147482320
"
00:12:36.769000,"Picked up BP_FD_GreenBeans_C_2147482318
"
00:12:37.903000,"Dropped BP_FD_GreenBeans_C_2147482318
"
00:12:39.899000,"Picked up BP_FD_Broccoli_Steamed_C_2147482316
"
00:12:44.629000,"Dropped BP_FD_Broccoli_Steamed_C_2147482316
"
00:12:50.739000,"Picked up BP_FD_Broccoli_Steamed_C_2147482314
"
00:12:53.760000,"Dropped BP_FD_Broccoli_Steamed_C_2147482314
"
00:12:55.538000,"Picked up BP_FD_GreenBeans_C_2147482318
"
00:12:58.402000,"Dropped BP_FD_GreenBeans_C_2147482318
"
00:12:58.579000,"Placed BP_FD_GreenBeans_C_2147482318 onto plate SM_Plate_Blueprint8
"
00:13:03.866000,"Picked up BP_FD_Chicken_Cajun_C_2147482312
"
00:13:06.417000,"Dropped BP_FD_Chicken_Cajun_C_2147482312
"
00:13:06.445000,"Placed BP_FD_Chicken_Cajun_C_2147482312 onto plate SM_Plate_Blueprint8
"
00:13:28.797000,"Picked up SM_FD_Apple_Slice_34
"
00:13:29.596000,"Dropped SM_FD_Apple_Slice_34
"
00:13:29.862000,"Placed SM_FD_Apple_Slice_34 onto plate SM_Plate_Blueprint8
"
00:13:31.682000,"Picked up SM_FD_Apple_Slice_8
"
00:13:33.262000,"Dropped SM_FD_Apple_Slice_8
"
00:13:33.527000,"Placed SM_FD_Apple_Slice_8 onto plate SM_Plate_Blueprint8
"
00:13:34.812000,"Picked up SM_FD_Apple_Slice_2
"
00:13:36.238000,"Dropped SM_FD_Apple_Slice_2
"
00:13:36.581000,"Placed SM_FD_Apple_Slice_2 onto plate SM_Plate_Blueprint8
"
00:13:39.240000,"Dropped SM_Plate_Blueprint8
"
00:13:47.902000,"Picked up SM_BeverageCup_Blueprint3
"
00:13:12.888000,"Picked up SM_FD_PizzaBite_Veggie_01_5
"
00:13:14.420000,"Dropped SM_FD_PizzaBite_Veggie_01_5
"
00:13:14.620000,"Placed SM_FD_PizzaBite_Veggie_01_5 onto plate SM_Plate_Blueprint8
"
00:14:07.794000,"Dropped SM_BeverageCup_Blueprint3
"
