time,annotation
00:06:53.143000,"Picked up SM_Plate_Blueprint8
"
00:07:02.584000,"Picked up BP_FD_Chicken_Cajun_C_2147482489
"
00:07:05.183000,"Dropped BP_FD_Chicken_Cajun_C_2147482489
"
00:07:05.449000,"Placed BP_FD_Chicken_Cajun_C_2147482489 onto plate SM_Plate_Blueprint8
"
00:07:08.913000,"Picked up BP_FD_Beans_Black_C_2147482487
"
00:07:10.846000,"Dropped BP_FD_Beans_Black_C_2147482487
"
00:07:11.113000,"Placed BP_FD_Beans_Black_C_2147482487 onto plate SM_Plate_Blueprint8
"
00:07:16.866000,"Picked up BP_FD_Rice_Brown_C_2147482485
"
00:07:19.554000,"Dropped BP_FD_Rice_Brown_C_2147482485
"
00:07:19.821000,"Placed BP_FD_Rice_Brown_C_2147482485 onto plate SM_Plate_Blueprint8
"
00:07:34.215000,"Dropped SM_FD_Strawberry8
"
00:07:34.437000,"Placed SM_FD_Strawberry8 onto plate SM_Plate_Blueprint8
"
00:07:35.661000,"Picked up SM_FD_Strawberry4
"
00:07:36.793000,"Dropped SM_FD_Strawberry4
"
00:07:36.970000,"Placed SM_FD_Strawberry4 onto plate SM_Plate_Blueprint8
"
00:07:40.547000,"Picked up SM_FD_Cookies_ChocChip_3
"
00:07:41.810000,"Dropped SM_FD_Cookies_ChocChip_3
"
00:07:42.010000,"Placed SM_FD_Cookies_ChocChip_3 onto plate SM_Plate_Blueprint8
"
00:07:43.075000,"Dropped SM_Plate_Blueprint8
"
00:07:49.161000,"Picked up SM_BeverageCup_Blueprint4_219
"
00:07:27.508000,"Picked up SM_FD_Strawberry3
"
00:08:04.554000,"Dropped SM_BeverageCup_Blueprint4_219
"
00:07:29.573000,"Dropped SM_FD_Strawberry3
"
00:07:29.795000,"Placed SM_FD_Strawberry3 onto plate SM_Plate_Blueprint8
"
00:07:30.927000,"Picked up SM_FD_Strawberry3
"
00:07:31.528000,"Dropped SM_FD_Strawberry3
"
00:07:32.241000,"Placed SM_FD_Strawberry3 onto plate SM_Plate_Blueprint8
"
00:07:32.907000,"Picked up SM_FD_Strawberry8
"
