time,annotation
00:07:51.227000,"Picked up SM_Plate_Blueprint8
"
00:07:56.471000,"Picked up BP_FD_Rice_Fried_C_2147482432
"
00:08:02.401000,"Dropped BP_FD_Rice_Fried_C_2147482432
"
00:08:02.645000,"Placed BP_FD_Rice_Fried_C_2147482432 onto plate SM_Plate_Blueprint8
"
00:08:06.886000,"Picked up BP_FD_GreenBeans_C_2147482430
"
00:08:09.398000,"Dropped BP_FD_GreenBeans_C_2147482430
"
00:08:09.598000,"Placed BP_FD_GreenBeans_C_2147482430 onto plate SM_Plate_Blueprint8
"
00:08:21.702000,"Picked up BP_FD_Chicken_Cajun_C_2147482428
"
00:08:24.735000,"Dropped BP_FD_Chicken_Cajun_C_2147482428
"
00:08:25.024000,"Placed BP_FD_Chicken_Cajun_C_2147482428 onto plate SM_Plate_Blueprint8
"
00:08:41.527000,"Dropped SM_Plate_Blueprint8
"
00:08:48.946000,"Picked up SM_BwlSm_Blueprint2
"
00:09:03.707000,"Dropped SM_BwlSm_Blueprint2
"
00:09:04.273000,"Picked up SM_Plate_Blueprint8
"
00:09:09.847000,"Picked up BP_FD_Fries_SweetPotato_C_2147482423
"
00:09:12.755000,"Dropped BP_FD_Fries_SweetPotato_C_2147482423
"
00:09:12.979000,"Placed BP_FD_Fries_SweetPotato_C_2147482423 onto plate SM_Plate_Blueprint8
"
00:09:17.689000,"Dropped SM_Plate_Blueprint8
"
00:09:28.240000,"Picked up SM_BwlSm_Blueprint_77
"
00:08:36.574000,"Picked up BP_FD_GreenBeans_C_2147482426
"
00:08:37.528000,"Dropped BP_FD_GreenBeans_C_2147482426
"
00:08:37.796000,"Placed BP_FD_GreenBeans_C_2147482426 onto plate SM_Plate_Blueprint8
"
00:09:44.076000,"Dropped SM_BwlSm_Blueprint_77
"
00:09:45.763000,"Picked up SM_Plate_Blueprint_2
"
00:09:56.475000,"Picked up SM_FD_Strawberry3
"
00:09:57.294000,"Dropped SM_FD_Strawberry3
"
00:09:57.494000,"Placed SM_FD_Strawberry3 onto plate SM_Plate_Blueprint_2
"
00:09:59.540000,"Picked up SM_FD_Strawberry4
"
