time,annotation
00:07:02.412000,"Picked up SM_Plate_Blueprint11_10
"
00:07:15.608000,"Picked up SM_FD_Strawberry8
"
00:07:16.763000,"Dropped SM_FD_Strawberry8
"
00:07:16.939000,"Placed SM_FD_Strawberry8 onto plate SM_Plate_Blueprint11_10
"
00:07:18.649000,"Picked up SM_FD_Strawberry3
"
00:07:19.316000,"Dropped SM_FD_Strawberry3
"
00:07:19.516000,"Placed SM_FD_Strawberry3 onto plate SM_Plate_Blueprint11_10
"
00:07:21.895000,"Picked up SM_FD_Grapes_15
"
00:07:25.159000,"Dropped SM_FD_Grapes_15
"
00:07:25.248000,"Placed SM_FD_Grapes_15 onto plate SM_Plate_Blueprint11_10
"
00:07:26.536000,"Picked up SM_FD_Grapes_06
"
00:07:27.780000,"Dropped SM_FD_Grapes_06
"
00:07:28.024000,"Placed SM_FD_Grapes_06 onto plate SM_Plate_Blueprint11_10
"
00:07:46.457000,"Dropped SM_Plate_Blueprint11_10
"
00:07:49.522000,"Picked up SM_BwlSm_Blueprint2
"
00:08:02.828000,"Dropped SM_BwlSm_Blueprint2
"
00:07:11.790000,"Picked up SM_FD_Strawberry4
"
00:07:13.322000,"Dropped SM_FD_Strawberry4
"
00:07:13.522000,"Placed SM_FD_Strawberry4 onto plate SM_Plate_Blueprint11_10
"
00:08:26.222000,"Dropped SM_BeverageCup_Blueprint4_219
"
00:08:10.222000,"Picked up SM_BeverageCup_Blueprint4_219
"
